brand,domain,scr_path,html_path
Facebook,128.199.174.138,apwg_sample_4190/2021-08/2021-08-20/2021-08-20-36500.png,apwg_sample_4190/2021-08/2021-08-20/2021-08-20-36500.html
Santander Bank,laraapi.technopremium.com,apwg_sample_4190/2021-09/2021-09-27/2021-09-27-22904.png,apwg_sample_4190/2021-09/2021-09-27/2021-09-27-22904.html
Apple,cleaningspot.co.uk,apwg_sample_4190/2023-05/2023-05-23/2023-05-23-27714.png,apwg_sample_4190/2023-05/2023-05-23/2023-05-23-27714.html
Ecco,www.palladiumfrance.com,apwg_sample_4190/2021-08/2021-08-05/2021-08-05-17691.png,apwg_sample_4190/2021-08/2021-08-05/2021-08-05-17691.html
Adobe,selincourse.buzz,apwg_sample_4190/2022-03/2022-03-31/2022-03-31-46954.png,apwg_sample_4190/2022-03/2022-03-31/2022-03-31-46954.html
Adobe,demo.webnappmaker.in,apwg_sample_4190/2022-06/2022-06-24/2022-06-24-184916.png,apwg_sample_4190/2022-06/2022-06-24/2022-06-24-184916.html
Microsoft,madstsvvdfocxxxm-6079492.jcloud.kz,apwg_sample_4190/2022-04/2022-04-20/2022-04-20-73697.png,apwg_sample_4190/2022-04/2022-04-20/2022-04-20-73697.html
Ozon,0-z-o.pp.ru,apwg_sample_4190/2021-08/2021-08-16/2021-08-16-11122.png,apwg_sample_4190/2021-08/2021-08-16/2021-08-16-11122.html
Chase Bank,anasps.ibbca.com.br,apwg_sample_4190/2021-10/2021-10-27/2021-10-27-64209.png,apwg_sample_4190/2021-10/2021-10-27/2021-10-27-64209.html
PayPal,t9y.me,apwg_sample_4190/2021-07/2021-07-21/2021-07-21-3867.png,apwg_sample_4190/2021-07/2021-07-21/2021-07-21-3867.html
DHL,benendydododldldldjdjdjdjjdjdj.web.app,apwg_sample_4190/2021-07/2021-07-20/2021-07-20-3537.png,apwg_sample_4190/2021-07/2021-07-20/2021-07-20-3537.html
Facebook,view.genial.ly,apwg_sample_4190/2021-07/2021-07-20/2021-07-20-462.png,apwg_sample_4190/2021-07/2021-07-20/2021-07-20-462.html
Webmail,webmail.login-imaps.info,apwg_sample_4190/2021-07/2021-07-20/2021-07-20-1184.png,apwg_sample_4190/2021-07/2021-07-20/2021-07-20-1184.html
Webmail,cpanel.king-moroco.com,apwg_sample_4190/2021-07/2021-07-22/2021-07-22-18305.png,apwg_sample_4190/2021-07/2021-07-22/2021-07-22-18305.html
PayPal,techhampton.com,apwg_sample_4190/2021-07/2021-07-19/2021-07-19-24769.png,apwg_sample_4190/2021-07/2021-07-19/2021-07-19-24769.html
OneDrive,higoldblackart.com,apwg_sample_4190/2022-07/2022-07-15/2022-07-15-5140.png,apwg_sample_4190/2022-07/2022-07-15/2022-07-15-5140.html
Facebook,view.genial.ly,apwg_sample_4190/2021-07/2021-07-20/2021-07-20-3120.png,apwg_sample_4190/2021-07/2021-07-20/2021-07-20-3120.html
AOL,wiijrifejfwiqjjwj.weebly.com,apwg_sample_4190/2021-09/2021-09-08/2021-09-08-30128.png,apwg_sample_4190/2021-09/2021-09-08/2021-09-08-30128.html
Webmail,cpanel.remodelacion-construccion.com,apwg_sample_4190/2021-07/2021-07-19/2021-07-19-24551.png,apwg_sample_4190/2021-07/2021-07-19/2021-07-19-24551.html
Webmail,cpanel.com-localiser.in,apwg_sample_4190/2021-07/2021-07-22/2021-07-22-19116.png,apwg_sample_4190/2021-07/2021-07-22/2021-07-22-19116.html
Facebook,view.genial.ly,apwg_sample_4190/2021-07/2021-07-20/2021-07-20-882.png,apwg_sample_4190/2021-07/2021-07-20/2021-07-20-882.html
Orange,condescending-chaplygin.23-94-50-242.plesk.page,apwg_sample_4190/2021-11/2021-11-01/2021-11-01-111796.png,apwg_sample_4190/2021-11/2021-11-01/2021-11-01-111796.html
Twitter,api.prooffactor.com,apwg_sample_4190/2021-08/2021-08-04/2021-08-04-47661.png,apwg_sample_4190/2021-08/2021-08-04/2021-08-04-47661.html
Facebook,s.bitool.co,apwg_sample_4190/2021-07/2021-07-19/2021-07-19-22961.png,apwg_sample_4190/2021-07/2021-07-19/2021-07-19-22961.html
ING Group,verifica-ingarancio-titolare.com,apwg_sample_4190/2021-07/2021-07-30/2021-07-30-21826.png,apwg_sample_4190/2021-07/2021-07-30/2021-07-30-21826.html
Intesa Sanpaolo,assistenza-invio-xme.com,apwg_sample_4190/2021-10/2021-10-12/2021-10-12-51034.png,apwg_sample_4190/2021-10/2021-10-12/2021-10-12-51034.html
Lloyds Bank,www.securelogin-unauthorised.com,apwg_sample_4190/2021-09/2021-09-15/2021-09-15-28102.png,apwg_sample_4190/2021-09/2021-09-15/2021-09-15-28102.html
ING Group,rollingbeagles.com,apwg_sample_4190/2021-09/2021-09-08/2021-09-08-30039.png,apwg_sample_4190/2021-09/2021-09-08/2021-09-08-30039.html
Credit Agricole,bdfbndfbdfjh.com,apwg_sample_4190/2021-07/2021-07-17/2021-07-17-13304.png,apwg_sample_4190/2021-07/2021-07-17/2021-07-17-13304.html
Facebook,3km.us,apwg_sample_4190/2021-07/2021-07-20/2021-07-20-1944.png,apwg_sample_4190/2021-07/2021-07-20/2021-07-20-1944.html
Piraeus Bank,www.perezyperezltda.cl,apwg_sample_4190/2021-10/2021-10-13/2021-10-13-25860.png,apwg_sample_4190/2021-10/2021-10-13/2021-10-13-25860.html
Timeweb,cf66260.tmweb.ru,apwg_sample_4190/2021-08/2021-08-11/2021-08-11-28343.png,apwg_sample_4190/2021-08/2021-08-11/2021-08-11-28343.html
Credit Agricole,pedantic-murdock.5-196-220-112.plesk.page,apwg_sample_4190/2021-08/2021-08-14/2021-08-14-41838.png,apwg_sample_4190/2021-08/2021-08-14/2021-08-14-41838.html
Apple,shudahsajtih-dhaksaywaebhenersyadf432523.duckdns.org,apwg_sample_4190/2022-01/2022-01-17/2022-01-17-8620.png,apwg_sample_4190/2022-01/2022-01-17/2022-01-17-8620.html
Microsoft,columbusway.net,apwg_sample_4190/2021-08/2021-08-09/2021-08-09-38465.png,apwg_sample_4190/2021-08/2021-08-09/2021-08-09-38465.html
Yahoo,daftar-indihome.com,apwg_sample_4190/2021-11/2021-11-29/2021-11-29-116113.png,apwg_sample_4190/2021-11/2021-11-29/2021-11-29-116113.html
Microsoft,setwan.natunakab.go.id,apwg_sample_4190/2022-03/2022-03-30/2022-03-30-19544.png,apwg_sample_4190/2022-03/2022-03-30/2022-03-30-19544.html
Chase Bank,viz.hopto.org,apwg_sample_4190/2021-10/2021-10-17/2021-10-17-196791.png,apwg_sample_4190/2021-10/2021-10-17/2021-10-17-196791.html
Facebook,cnnvideo4k.usite.pro,apwg_sample_4190/2022-06/2022-06-17/2022-06-17-395140.png,apwg_sample_4190/2022-06/2022-06-17/2022-06-17-395140.html
Microsoft,storageapi.fleek.co,apwg_sample_4190/2022-09/2022-09-27/2022-09-27-233596.png,apwg_sample_4190/2022-09/2022-09-27/2022-09-27-233596.html
Piraeus Bank,mail.winbanksms.com,apwg_sample_4190/2021-07/2021-07-20/2021-07-20-2258.png,apwg_sample_4190/2021-07/2021-07-20/2021-07-20-2258.html
DHL,hopeful-volhard.20-3-248-177.plesk.page,apwg_sample_4190/2022-10/2022-10-09/2022-10-09-228457.png,apwg_sample_4190/2022-10/2022-10-09/2022-10-09-228457.html
VTB Bank,ru-1000rub-vtb.ru,apwg_sample_4190/2021-07/2021-07-15/2021-07-15-20818.png,apwg_sample_4190/2021-07/2021-07-15/2021-07-15-20818.html
Timeweb,ci46878.tmweb.ru,apwg_sample_4190/2021-10/2021-10-21/2021-10-21-182065.png,apwg_sample_4190/2021-10/2021-10-21/2021-10-21-182065.html
DHL,unasf.conflavoro.it,apwg_sample_4190/2022-08/2022-08-18/2022-08-18-388757.png,apwg_sample_4190/2022-08/2022-08-18/2022-08-18-388757.html
BT Group,xbvkjfsdhsgrsgnronvdgd.weebly.com,apwg_sample_4190/2022-04/2022-04-27/2022-04-27-459669.png,apwg_sample_4190/2022-04/2022-04-27/2022-04-27-459669.html
Regions Financial Corporation,reg-ions-co.preview-domain.com,apwg_sample_4190/2022-08/2022-08-28/2022-08-28-48302.png,apwg_sample_4190/2022-08/2022-08-28/2022-08-28-48302.html
E-Mail Provider,caszim.co.zw,apwg_sample_4190/2022-09/2022-09-22/2022-09-22-175362.png,apwg_sample_4190/2022-09/2022-09-22/2022-09-22-175362.html
E-Mail Provider,customcrepcity.co.uk,apwg_sample_4190/2022-12/2022-12-30/2022-12-30-66103.png,apwg_sample_4190/2022-12/2022-12-30/2022-12-30-66103.html
Chase Bank,lechicbysheena.com,apwg_sample_4190/2022-05/2022-05-06/2022-05-06-208137.png,apwg_sample_4190/2022-05/2022-05-06/2022-05-06-208137.html
Microsoft,supp-2-jgskd.ondigitalocean.app,apwg_sample_4190/2022-05/2022-05-10/2022-05-10-77657.png,apwg_sample_4190/2022-05/2022-05-10/2022-05-10-77657.html
Namecheap,he1d5vtssay3f9cz0k9.teamcarnage.net,apwg_sample_4190/2021-10/2021-10-15/2021-10-15-215281.png,apwg_sample_4190/2021-10/2021-10-15/2021-10-15-215281.html
Societe Generale Group,www.cutt.ly,apwg_sample_4190/2021-08/2021-08-07/2021-08-07-26676.png,apwg_sample_4190/2021-08/2021-08-07/2021-08-07-26676.html
Banco Pichincha,fn.tc,apwg_sample_4190/2021-08/2021-08-03/2021-08-03-18840.png,apwg_sample_4190/2021-08/2021-08-03/2021-08-03-18840.html
International Card Services,intern-onderhoud.web8617.cweb02.gamingweb.de,apwg_sample_4190/2021-08/2021-08-09/2021-08-09-38698.png,apwg_sample_4190/2021-08/2021-08-09/2021-08-09-38698.html
Adobe,satyasurya.net,apwg_sample_4190/2021-11/2021-11-09/2021-11-09-157540.png,apwg_sample_4190/2021-11/2021-11-09/2021-11-09-157540.html
Rabobank,heffingsbedrag-protocol.xyz,apwg_sample_4190/2021-08/2021-08-06/2021-08-06-220.png,apwg_sample_4190/2021-08/2021-08-06/2021-08-06-220.html
PayPal,logicpalm.com,apwg_sample_4190/2022-10/2022-10-02/2022-10-02-1242352.png,apwg_sample_4190/2022-10/2022-10-02/2022-10-02-1242352.html
eBay,downsp.org,apwg_sample_4190/2021-11/2021-11-09/2021-11-09-158632.png,apwg_sample_4190/2021-11/2021-11-09/2021-11-09-158632.html
Microsoft,bafybeidyty7eyn3h32iajghuu54v4k22r5ejocs35krkifb5kkxdgvlbc4.ipfs.dweb.link,apwg_sample_4190/2022-12/2022-12-02/2022-12-02-288743.png,apwg_sample_4190/2022-12/2022-12-02/2022-12-02-288743.html
Microsoft,mp18.co.uk,apwg_sample_4190/2022-01/2022-01-13/2022-01-13-6797.png,apwg_sample_4190/2022-01/2022-01-13/2022-01-13-6797.html
Microsoft,eertt1.xyz,apwg_sample_4190/2021-08/2021-08-03/2021-08-03-19469.png,apwg_sample_4190/2021-08/2021-08-03/2021-08-03-19469.html
Microsoft,comunidadefeitto.com.br,apwg_sample_4190/2022-05/2022-05-02/2022-05-02-84413.png,apwg_sample_4190/2022-05/2022-05-02/2022-05-02-84413.html
PayPal,paypal-intl-service-security.enaoioqi.com,apwg_sample_4190/2021-11/2021-11-20/2021-11-20-94571.png,apwg_sample_4190/2021-11/2021-11-20/2021-11-20-94571.html
PostNL,heffingrestant-protocol.xyz,apwg_sample_4190/2021-08/2021-08-05/2021-08-05-17572.png,apwg_sample_4190/2021-08/2021-08-05/2021-08-05-17572.html
Microsoft,phracandheating.com,apwg_sample_4190/2022-07/2022-07-26/2022-07-26-116652.png,apwg_sample_4190/2022-07/2022-07-26/2022-07-26-116652.html
Adobe,assromontstrv.buzz,apwg_sample_4190/2022-07/2022-07-20/2022-07-20-114187.png,apwg_sample_4190/2022-07/2022-07-20/2022-07-20-114187.html
Piraeus Bank,information-winbankgr.com,apwg_sample_4190/2021-08/2021-08-20/2021-08-20-37354.png,apwg_sample_4190/2021-08/2021-08-20/2021-08-20-37354.html
Netflix,vps73110.inmotionhosting.com,apwg_sample_4190/2021-10/2021-10-10/2021-10-10-223267.png,apwg_sample_4190/2021-10/2021-10-10/2021-10-10-223267.html
DHL,glamur.co.il,apwg_sample_4190/2021-07/2021-07-24/2021-07-24-10347.png,apwg_sample_4190/2021-07/2021-07-24/2021-07-24-10347.html
Facebook,inspirememory.com,apwg_sample_4190/2021-10/2021-10-12/2021-10-12-49004.png,apwg_sample_4190/2021-10/2021-10-12/2021-10-12-49004.html
ABN AMRO Bank,login-digid.interesting-johnson.188-166-110-128.plesk.page,apwg_sample_4190/2021-08/2021-08-19/2021-08-19-21793.png,apwg_sample_4190/2021-08/2021-08-19/2021-08-19-21793.html
Facebook,cutt.ly,apwg_sample_4190/2022-01/2022-01-24/2022-01-24-2593.png,apwg_sample_4190/2022-01/2022-01-24/2022-01-24-2593.html
NTT Docomo,docomo-bakuage-selection.com,apwg_sample_4190/2023-05/2023-05-16/2023-05-16-65499.png,apwg_sample_4190/2023-05/2023-05-16/2023-05-16-65499.html
PayPal,www.tcct.be,apwg_sample_4190/2022-11/2022-11-11/2022-11-11-45547.png,apwg_sample_4190/2022-11/2022-11-11/2022-11-11-45547.html
DHL,mydhl.express.dhl-express-au.improset.fr,apwg_sample_4190/2021-10/2021-10-20/2021-10-20-146094.png,apwg_sample_4190/2021-10/2021-10-20/2021-10-20-146094.html
AT&T,123loginservices.weebly.com,apwg_sample_4190/2021-07/2021-07-22/2021-07-22-18510.png,apwg_sample_4190/2021-07/2021-07-22/2021-07-22-18510.html
Microsoft,login-live-com.office365.apps.maxsolutions.com.au,apwg_sample_4190/2021-11/2021-11-09/2021-11-09-156594.png,apwg_sample_4190/2021-11/2021-11-09/2021-11-09-156594.html
Namecheap,www.eticaretkurulum.com,apwg_sample_4190/2022-05/2022-05-08/2022-05-08-21475.png,apwg_sample_4190/2022-05/2022-05-08/2022-05-08-21475.html
"Rackspace Technology, Inc.",owiagbn.wmsistseg.com.br,apwg_sample_4190/2021-10/2021-10-13/2021-10-13-33580.png,apwg_sample_4190/2021-10/2021-10-13/2021-10-13-33580.html
Facebook,marketplace-item252876762.com,apwg_sample_4190/2021-07/2021-07-27/2021-07-27-16407.png,apwg_sample_4190/2021-07/2021-07-27/2021-07-27-16407.html
Wells Fargo Bank,mail.69-49-245-141.cprapid.com,apwg_sample_4190/2022-01/2022-01-21/2022-01-21-35552.png,apwg_sample_4190/2022-01/2022-01-21/2022-01-21-35552.html
AT&T,att.accenture-us.network,apwg_sample_4190/2022-11/2022-11-17/2022-11-17-18532.png,apwg_sample_4190/2022-11/2022-11-17/2022-11-17-18532.html
Adobe,14-0050-0-gf93hf0qsnjc0pg34-0w9jec-395-9gfb.obs.ap-southeast-3.myhuaweicloud.com,apwg_sample_4190/2023-04/2023-04-26/2023-04-26-38538.png,apwg_sample_4190/2023-04/2023-04-26/2023-04-26-38538.html
Microsoft,pa-batusangkar.go.id,apwg_sample_4190/2021-11/2021-11-09/2021-11-09-158195.png,apwg_sample_4190/2021-11/2021-11-09/2021-11-09-158195.html
Tesco Bank,doctorjairogcasas.com,apwg_sample_4190/2021-11/2021-11-27/2021-11-27-49458.png,apwg_sample_4190/2021-11/2021-11-27/2021-11-27-49458.html
PayPal,verify-billing-auth.pld03.co,apwg_sample_4190/2021-08/2021-08-09/2021-08-09-39237.png,apwg_sample_4190/2021-08/2021-08-09/2021-08-09-39237.html
TSB Bank,tsb.co.uk-idchk.live,apwg_sample_4190/2021-08/2021-08-07/2021-08-07-25934.png,apwg_sample_4190/2021-08/2021-08-07/2021-08-07-25934.html
Canadian Imperial Bank of Commerce,member.cashback-freedommobi1737.com,apwg_sample_4190/2021-07/2021-07-30/2021-07-30-22219.png,apwg_sample_4190/2021-07/2021-07-30/2021-07-30-22219.html
Banca d'Italia,appinforma.com,apwg_sample_4190/2021-07/2021-07-29/2021-07-29-5521.png,apwg_sample_4190/2021-07/2021-07-29/2021-07-29-5521.html
Microsoft,apophissecurity.biz,apwg_sample_4190/2022-11/2022-11-20/2022-11-20-225155.png,apwg_sample_4190/2022-11/2022-11-20/2022-11-20-225155.html
Tangerine Bank,10000tbowers.goodluckseeker.com,apwg_sample_4190/2021-08/2021-08-14/2021-08-14-43343.png,apwg_sample_4190/2021-08/2021-08-14/2021-08-14-43343.html
DHL,vtsosnvmebdc3v3zvgwqszuzphp.web.app,apwg_sample_4190/2021-08/2021-08-05/2021-08-05-16981.png,apwg_sample_4190/2021-08/2021-08-05/2021-08-05-16981.html
PayPal,bit.do,apwg_sample_4190/2021-11/2021-11-15/2021-11-15-181917.png,apwg_sample_4190/2021-11/2021-11-15/2021-11-15-181917.html
Santander Bank,resolve-attempt-isssue.com,apwg_sample_4190/2022-04/2022-04-04/2022-04-04-181189.png,apwg_sample_4190/2022-04/2022-04-04/2022-04-04-181189.html
Outlook,mail.glenaquapool.com,apwg_sample_4190/2022-07/2022-07-19/2022-07-19-85130.png,apwg_sample_4190/2022-07/2022-07-19/2022-07-19-85130.html
DHL,c1.adform.net,apwg_sample_4190/2021-08/2021-08-12/2021-08-12-6640.png,apwg_sample_4190/2021-08/2021-08-12/2021-08-12-6640.html
AT&T,att-online-verification65.yolasite.com,apwg_sample_4190/2022-06/2022-06-08/2022-06-08-668945.png,apwg_sample_4190/2022-06/2022-06-08/2022-06-08-668945.html
Apple,www.applec-co-jp.9azc.info,apwg_sample_4190/2021-12/2021-12-22/2021-12-22-32891.png,apwg_sample_4190/2021-12/2021-12-22/2021-12-22-32891.html
Bank of Nova Scotia,sbi.mx,apwg_sample_4190/2021-10/2021-10-29/2021-10-29-137049.png,apwg_sample_4190/2021-10/2021-10-29/2021-10-29-137049.html
Microsoft,tonychance.com,apwg_sample_4190/2023-07/2023-07-07/2023-07-07-104509.png,apwg_sample_4190/2023-07/2023-07-07/2023-07-07-104509.html
Facebook,yuerojiig.jimdofree.com,apwg_sample_4190/2021-10/2021-10-16/2021-10-16-12071.png,apwg_sample_4190/2021-10/2021-10-16/2021-10-16-12071.html
PayPal,l.wl.co,apwg_sample_4190/2021-12/2021-12-07/2021-12-07-38791.png,apwg_sample_4190/2021-12/2021-12-07/2021-12-07-38791.html
Swiss Post,www.store.boomini.com,apwg_sample_4190/2021-09/2021-09-21/2021-09-21-127.png,apwg_sample_4190/2021-09/2021-09-21/2021-09-21-127.html
M&T Bank Corporation,aflora.eco.br,apwg_sample_4190/2022-09/2022-09-09/2022-09-09-131680.png,apwg_sample_4190/2022-09/2022-09-09/2022-09-09-131680.html
PayPal,mystorycongreekfun.000webhostapp.com,apwg_sample_4190/2021-12/2021-12-29/2021-12-29-62758.png,apwg_sample_4190/2021-12/2021-12-29/2021-12-29-62758.html
Facebook,dargdgs.blogspot.co.at,apwg_sample_4190/2022-05/2022-05-29/2022-05-29-118974.png,apwg_sample_4190/2022-05/2022-05-29/2022-05-29-118974.html
Amazon,abouttheupdate.upyouramazononline.club,apwg_sample_4190/2021-10/2021-10-18/2021-10-18-104216.png,apwg_sample_4190/2021-10/2021-10-18/2021-10-18-104216.html
MKB Bank,perfectdocumentservice.com,apwg_sample_4190/2022-05/2022-05-28/2022-05-28-6825.png,apwg_sample_4190/2022-05/2022-05-28/2022-05-28-6825.html
Banca d'Italia,portale.web.bancaitalia.nexi.e-desk.biz,apwg_sample_4190/2021-10/2021-10-04/2021-10-04-171222.png,apwg_sample_4190/2021-10/2021-10-04/2021-10-04-171222.html
Microsoft,pitch-box.com,apwg_sample_4190/2022-04/2022-04-13/2022-04-13-563044.png,apwg_sample_4190/2022-04/2022-04-13/2022-04-13-563044.html
Rabobank,pensive-taussig.109-71-253-24.plesk.page,apwg_sample_4190/2022-10/2022-10-05/2022-10-05-1004824.png,apwg_sample_4190/2022-10/2022-10-05/2022-10-05-1004824.html
Namecheap,podcastlivewire.com,apwg_sample_4190/2022-09/2022-09-13/2022-09-13-92614.png,apwg_sample_4190/2022-09/2022-09-13/2022-09-13-92614.html
Microsoft,hospitalityequipment.co,apwg_sample_4190/2022-05/2022-05-26/2022-05-26-88236.png,apwg_sample_4190/2022-05/2022-05-26/2022-05-26-88236.html
Piraeus Bank,assist-piraeusbankgr.com,apwg_sample_4190/2021-08/2021-08-28/2021-08-28-10446.png,apwg_sample_4190/2021-08/2021-08-28/2021-08-28-10446.html
Microsoft,devoncarlstrom.com,apwg_sample_4190/2023-06/2023-06-09/2023-06-09-58218.png,apwg_sample_4190/2023-06/2023-06-09/2023-06-09-58218.html
Tangerine Bank,6045510000.com,apwg_sample_4190/2021-08/2021-08-02/2021-08-02-41010.png,apwg_sample_4190/2021-08/2021-08-02/2021-08-02-41010.html
Microsoft,ilchicagolombard.com,apwg_sample_4190/2022-05/2022-05-13/2022-05-13-51603.png,apwg_sample_4190/2022-05/2022-05-13/2022-05-13-51603.html
Netflix,vetflix-96f2c2.ingress-baronn.easywp.com,apwg_sample_4190/2021-10/2021-10-29/2021-10-29-137343.png,apwg_sample_4190/2021-10/2021-10-29/2021-10-29-137343.html
Microsoft,squad-lyrics-mlb-closely.trycloudflare.com,apwg_sample_4190/2022-02/2022-02-04/2022-02-04-12037.png,apwg_sample_4190/2022-02/2022-02-04/2022-02-04-12037.html
DHL,www.radioclubesagui.com.br,apwg_sample_4190/2021-07/2021-07-29/2021-07-29-7839.png,apwg_sample_4190/2021-07/2021-07-29/2021-07-29-7839.html
Tangerine Bank,47.90.250.166,apwg_sample_4190/2022-05/2022-05-03/2022-05-03-13344.png,apwg_sample_4190/2022-05/2022-05-03/2022-05-03-13344.html
DHL,trc-sd.com,apwg_sample_4190/2022-09/2022-09-29/2022-09-29-195260.png,apwg_sample_4190/2022-09/2022-09-29/2022-09-29-195260.html
iCloud,www.icluod.appleidsz.com,apwg_sample_4190/2023-05/2023-05-15/2023-05-15-128163.png,apwg_sample_4190/2023-05/2023-05-15/2023-05-15-128163.html
Wells Fargo Bank,consult-now.ca,apwg_sample_4190/2022-07/2022-07-22/2022-07-22-88402.png,apwg_sample_4190/2022-07/2022-07-22/2022-07-22-88402.html
PayPal,4c0db546.ithemeshosting.com.php73-40.lan3-1.websitetestlink.com,apwg_sample_4190/2021-08/2021-08-09/2021-08-09-38945.png,apwg_sample_4190/2021-08/2021-08-09/2021-08-09-38945.html
Apple,www.support.apple.com.log-location.live,apwg_sample_4190/2021-07/2021-07-24/2021-07-24-10258.png,apwg_sample_4190/2021-07/2021-07-24/2021-07-24-10258.html
Intesa Sanpaolo,security-info-2021-lntesa.com,apwg_sample_4190/2021-08/2021-08-04/2021-08-04-46121.png,apwg_sample_4190/2021-08/2021-08-04/2021-08-04-46121.html
PayPal,pazpal.top,apwg_sample_4190/2023-01/2023-01-31/2023-01-31-204091.png,apwg_sample_4190/2023-01/2023-01-31/2023-01-31-204091.html
Namecheap,diversifiedl.com,apwg_sample_4190/2022-04/2022-04-22/2022-04-22-584253.png,apwg_sample_4190/2022-04/2022-04-22/2022-04-22-584253.html
E-Mail Provider,seilux.com.ar,apwg_sample_4190/2022-12/2022-12-31/2022-12-31-50244.png,apwg_sample_4190/2022-12/2022-12-31/2022-12-31-50244.html
AOL,aolcustomerservice001.yolasite.com,apwg_sample_4190/2022-08/2022-08-30/2022-08-30-214025.png,apwg_sample_4190/2022-08/2022-08-30/2022-08-30-214025.html
