brand,scr_path,pred_brand
Credit Agricole,apwg451514/2021-11/2021-11-12/2021-11-12-139885.png,banco_de_occidente
PayPal,apwg451514/2021-11/2021-11-08/2021-11-08-142188.png,Standard Chartered Bank
Chase Bank,apwg451514/2021-11/2021-11-08/2021-11-08-143881.png,LinkedIn Corporation
Raiffeisen Bank,apwg451514/2021-11/2021-11-14/2021-11-14-151779.png,Bankia
Raiffeisen Bank,apwg451514/2021-11/2021-11-14/2021-11-14-151833.png,Bankia
Wells Fargo Bank,apwg451514/2021-11/2021-11-09/2021-11-09-155230.png,Wells Fargo & Company
M&T Bank Corporation,apwg451514/2021-11/2021-11-09/2021-11-09-156178.png,M & T Bank Coporation
Facebook,apwg451514/2021-11/2021-11-09/2021-11-09-156766.png,Facebook
Chase Bank,apwg451514/2021-11/2021-11-09/2021-11-09-159236.png,Chase Personal Banking
Orange,apwg451514/2021-11/2021-11-09/2021-11-09-159915.png,Orange
Wells Fargo Bank,apwg451514/2021-11/2021-11-09/2021-11-09-160448.png,Absa Group
Credit Agricole,apwg451514/2021-11/2021-11-09/2021-11-09-160940.png,tech_target
Societe Generale Group,apwg451514/2021-11/2021-11-22/2021-11-22-163125.png,Aruba S.p.A
Societe Generale Group,apwg451514/2021-11/2021-11-22/2021-11-22-163526.png,Aruba S.p.A
Sumitomo Mitsui Banking Corporation,apwg451514/2021-11/2021-11-19/2021-11-19-168170.png,NedBank Limited
YouTube,apwg451514/2021-11/2021-11-19/2021-11-19-172122.png,HSBC Bank
Raiffeisen Bank,apwg451514/2021-11/2021-11-11/2021-11-11-179130.png,Bankia
Chase Bank,apwg451514/2021-11/2021-11-11/2021-11-11-179900.png,Chase Personal Banking
Wells Fargo Bank,apwg451514/2021-11/2021-11-11/2021-11-11-180235.png,Wells Fargo & Company
Orange,apwg451514/2021-11/2021-11-11/2021-11-11-180849.png,Orange
PayPal,apwg451514/2021-11/2021-11-11/2021-11-11-181277.png,Standard Chartered Bank
Orange,apwg451514/2021-11/2021-11-15/2021-11-15-185111.png,Orange
AT&T,apwg451514/2021-12/2021-12-10/2021-12-10-1840.png,AT&T
DHL,apwg451514/2021-12/2021-12-10/2021-12-10-2229.png,HSBC Bank
Alaska USA Federal Credit Union,apwg451514/2021-12/2021-12-14/2021-12-14-4396.png,Chase Personal Banking
AOL,apwg451514/2021-12/2021-12-22/2021-12-22-33294.png,eBay
Lloyds Bank,apwg451514/2021-12/2021-12-18/2021-12-18-33945.png,NedBank Limited
Huntington Bank,apwg451514/2021-12/2021-12-20/2021-12-20-35352.png,GoDaddy
LinkedIn,apwg451514/2021-12/2021-12-21/2021-12-21-63638.png,"Twitter, Inc"
Chase Bank,apwg451514/2021-12/2021-12-17/2021-12-17-88800.png,Chase Personal Banking
Wells Fargo Bank,apwg451514/2021-12/2021-12-16/2021-12-16-90511.png,Wells Fargo & Company
Chase Bank,apwg451514/2021-12/2021-12-16/2021-12-16-90703.png,Chase Personal Banking
Adobe,apwg451514/2022-01/2022-01-10/2022-01-10-5411.png,Netflix
Alaska USA Federal Credit Union,apwg451514/2022-01/2022-01-13/2022-01-13-7265.png,Chase Personal Banking
Huntington Bank,apwg451514/2022-01/2022-01-05/2022-01-05-8174.png,Naver
Sumitomo Mitsui Banking Corporation,apwg451514/2022-01/2022-01-05/2022-01-05-8603.png,NedBank Limited
Facebook,apwg451514/2022-01/2022-01-15/2022-01-15-10559.png,Dropbox
DHL,apwg451514/2022-01/2022-01-15/2022-01-15-10947.png,postbank
Alaska USA Federal Credit Union,apwg451514/2022-01/2022-01-27/2022-01-27-12385.png,Chase Personal Banking
Facebook,apwg451514/2022-01/2022-01-16/2022-01-16-13508.png,Dropbox
Chase Bank,apwg451514/2022-01/2022-01-31/2022-01-31-15802.png,Chase Personal Banking
PayPal,apwg451514/2022-01/2022-01-02/2022-01-02-17647.png,Standard Chartered Bank
Adobe,apwg451514/2022-01/2022-01-28/2022-01-28-18377.png,Standard Chartered Bank
Facebook,apwg451514/2022-01/2022-01-25/2022-01-25-21229.png,Facebook
Alaska USA Federal Credit Union,apwg451514/2022-01/2022-01-21/2022-01-21-35239.png,Chase Personal Banking
"Rakuten Group, Inc.",apwg451514/2022-01/2022-01-21/2022-01-21-35415.png,Canadian Imperial Bank of Commerce
PayPal,apwg451514/2022-02/2022-02-02/2022-02-02-636.png,Standard Chartered Bank
Societe Generale Group,apwg451514/2022-02/2022-02-27/2022-02-27-8803.png,National Australia Bank Limited
Facebook,apwg451514/2022-02/2022-02-27/2022-02-27-8910.png,Facebook
Instagram,apwg451514/2022-02/2022-02-05/2022-02-05-10848.png,Google
Facebook,apwg451514/2022-02/2022-02-04/2022-02-04-11185.png,Dropbox
Yahoo,apwg451514/2022-02/2022-02-26/2022-02-26-14459.png,nordea
LinkedIn,apwg451514/2022-02/2022-02-28/2022-02-28-17124.png,LinkedIn Corporation
Facebook,apwg451514/2022-02/2022-02-19/2022-02-19-19470.png,Facebook
Facebook,apwg451514/2022-02/2022-02-18/2022-02-18-22830.png,1&1 Ionos
Instagram,apwg451514/2022-02/2022-02-18/2022-02-18-23665.png,Google
AT&T,apwg451514/2022-02/2022-02-01/2022-02-01-27364.png,BT Group plc
Alaska USA Federal Credit Union,apwg451514/2022-02/2022-02-10/2022-02-10-28308.png,Chase Personal Banking
Chase Bank,apwg451514/2022-02/2022-02-03/2022-02-03-33907.png,Chase Personal Banking
PayPal,apwg451514/2022-02/2022-02-06/2022-02-06-37413.png,Standard Chartered Bank
Facebook,apwg451514/2022-02/2022-02-06/2022-02-06-38086.png,Facebook
LinkedIn,apwg451514/2022-03/2022-03-29/2022-03-29-1764.png,LinkedIn Corporation
DHL,apwg451514/2022-03/2022-03-29/2022-03-29-5030.png,DHL
Facebook,apwg451514/2022-03/2022-03-19/2022-03-19-13944.png,eBay
Instagram,apwg451514/2022-03/2022-03-11/2022-03-11-25723.png,Standard Chartered Bank
Adobe,apwg451514/2022-03/2022-03-23/2022-03-23-33664.png,Standard Chartered Bank
GoDaddy,apwg451514/2022-03/2022-03-31/2022-03-31-38624.png,Instagram
Instagram,apwg451514/2022-03/2022-03-31/2022-03-31-40428.png,Instagram
GoDaddy,apwg451514/2022-03/2022-03-31/2022-03-31-40956.png,Instagram
GoDaddy,apwg451514/2022-03/2022-03-31/2022-03-31-45718.png,Instagram
GoDaddy,apwg451514/2022-03/2022-03-31/2022-03-31-53570.png,Instagram
Internal Revenue Service,apwg451514/2022-03/2022-03-10/2022-03-10-59858.png,IRS
Instagram,apwg451514/2022-03/2022-03-13/2022-03-13-61771.png,Standard Chartered Bank
Facebook,apwg451514/2022-03/2022-03-13/2022-03-13-62140.png,blizzard
Adobe,apwg451514/2022-03/2022-03-03/2022-03-03-77167.png,Standard Chartered Bank
Outlook,apwg451514/2022-03/2022-03-01/2022-03-01-78687.png,dkb
Facebook,apwg451514/2022-03/2022-03-02/2022-03-02-80065.png,eBay
Instagram,apwg451514/2022-03/2022-03-27/2022-03-27-85611.png,Stripe
Naver Corporation,apwg451514/2022-03/2022-03-09/2022-03-09-88777.png,wp60
Sparkasse,apwg451514/2022-04/2022-04-17/2022-04-17-29947.png,Sparkasse Bank
Sparkasse,apwg451514/2022-04/2022-04-17/2022-04-17-39903.png,Sparkasse Bank
DHL,apwg451514/2022-04/2022-04-17/2022-04-17-53852.png,DHL
DHL,apwg451514/2022-04/2022-04-05/2022-04-05-62151.png,DHL
GoDaddy,apwg451514/2022-04/2022-04-01/2022-04-01-76782.png,Instagram
M&T Bank Corporation,apwg451514/2022-04/2022-04-01/2022-04-01-77262.png,M & T Bank Coporation
Adobe,apwg451514/2022-04/2022-04-01/2022-04-01-78671.png,Daum
International Card Services,apwg451514/2022-04/2022-04-10/2022-04-10-80309.png,knab
Sparkasse,apwg451514/2022-04/2022-04-16/2022-04-16-114646.png,Sparkasse Bank
Sparkasse,apwg451514/2022-04/2022-04-16/2022-04-16-124987.png,Sparkasse Bank
Sparkasse,apwg451514/2022-04/2022-04-28/2022-04-28-150008.png,Sparkasse Bank
Facebook,apwg451514/2022-04/2022-04-02/2022-04-02-171185.png,AT&T
Huntington Bank,apwg451514/2022-04/2022-04-02/2022-04-02-171532.png,Naver
Huntington Bank,apwg451514/2022-04/2022-04-02/2022-04-02-172049.png,Naver
Huntington Bank,apwg451514/2022-04/2022-04-02/2022-04-02-172106.png,Naver
Adobe,apwg451514/2022-04/2022-04-08/2022-04-08-172621.png,Standard Chartered Bank
AT&T,apwg451514/2022-04/2022-04-08/2022-04-08-177038.png,AT&T
GoDaddy,apwg451514/2022-04/2022-04-04/2022-04-04-183188.png,Instagram
International Card Services,apwg451514/2022-04/2022-04-04/2022-04-04-183499.png,knab
DHL,apwg451514/2022-04/2022-04-04/2022-04-04-184188.png,DHL
"Rackspace Technology, Inc.",apwg451514/2022-04/2022-04-04/2022-04-04-185303.png,NedBank Limited
GoDaddy,apwg451514/2022-04/2022-04-04/2022-04-04-186980.png,Instagram
Facebook,apwg451514/2022-04/2022-04-03/2022-04-03-187058.png,Facebook
DHL,apwg451514/2022-04/2022-04-19/2022-04-19-221399.png,Sparkasse Bank
DHL,apwg451514/2022-04/2022-04-19/2022-04-19-221517.png,DHL
Wells Fargo Bank,apwg451514/2022-04/2022-04-09/2022-04-09-242581.png,Swisscom IT Services AG
Facebook,apwg451514/2022-04/2022-04-26/2022-04-26-253643.png,Facebook
Wells Fargo Bank,apwg451514/2022-04/2022-04-26/2022-04-26-285681.png,Absa Group
Instagram,apwg451514/2022-04/2022-04-25/2022-04-25-298039.png,Yahoo!
Chase Bank,apwg451514/2022-04/2022-04-29/2022-04-29-327969.png,Chase Personal Banking
Walmart,apwg451514/2022-04/2022-04-29/2022-04-29-328944.png,ameli_fr
eBay,apwg451514/2022-04/2022-04-29/2022-04-29-329002.png,eBay
AT&T,apwg451514/2022-04/2022-04-14/2022-04-14-347313.png,AT&T
Facebook,apwg451514/2022-04/2022-04-14/2022-04-14-355478.png,BT Group plc
Facebook,apwg451514/2022-04/2022-04-14/2022-04-14-357685.png,Facebook
Sparkasse,apwg451514/2022-04/2022-04-14/2022-04-14-367974.png,Grupo Santander
Wells Fargo Bank,apwg451514/2022-04/2022-04-11/2022-04-11-374973.png,Swisscom IT Services AG
DHL,apwg451514/2022-04/2022-04-11/2022-04-11-378358.png,DHL
ING Group,apwg451514/2022-04/2022-04-21/2022-04-21-382622.png,Allegro
Adobe,apwg451514/2022-04/2022-04-21/2022-04-21-383232.png,Standard Chartered Bank
DHL,apwg451514/2022-04/2022-04-23/2022-04-23-386947.png,DHL
Sparkasse,apwg451514/2022-04/2022-04-18/2022-04-18-402183.png,Grupo Santander
Chase Bank,apwg451514/2022-04/2022-04-18/2022-04-18-404897.png,Chase Personal Banking
Facebook,apwg451514/2022-04/2022-04-18/2022-04-18-437350.png,Facebook
M&T Bank Corporation,apwg451514/2022-04/2022-04-06/2022-04-06-441182.png,M & T Bank Coporation
M&T Bank Corporation,apwg451514/2022-04/2022-04-06/2022-04-06-441562.png,Desjardins
Facebook,apwg451514/2022-04/2022-04-06/2022-04-06-442090.png,Chase Personal Banking
Instagram,apwg451514/2022-04/2022-04-30/2022-04-30-445427.png,Dropbox
Facebook,apwg451514/2022-04/2022-04-30/2022-04-30-445681.png,Dropbox
Facebook,apwg451514/2022-04/2022-04-30/2022-04-30-446611.png,Standard Chartered Bank
OneDrive,apwg451514/2022-04/2022-04-27/2022-04-27-449830.png,Standard Chartered Bank
Walmart,apwg451514/2022-04/2022-04-27/2022-04-27-453410.png,ameli_fr
Walmart,apwg451514/2022-04/2022-04-27/2022-04-27-454277.png,ameli_fr
Sparkasse,apwg451514/2022-04/2022-04-27/2022-04-27-457810.png,Sparkasse Bank
Walmart,apwg451514/2022-04/2022-04-27/2022-04-27-457844.png,ameli_fr
Sparkasse,apwg451514/2022-04/2022-04-27/2022-04-27-461385.png,Sparkasse Bank
Walmart,apwg451514/2022-04/2022-04-27/2022-04-27-468132.png,ameli_fr
Walmart,apwg451514/2022-04/2022-04-27/2022-04-27-476221.png,ameli_fr
Walmart,apwg451514/2022-04/2022-04-27/2022-04-27-479853.png,ameli_fr
Walmart,apwg451514/2022-04/2022-04-27/2022-04-27-487095.png,ameli_fr
Facebook,apwg451514/2022-04/2022-04-15/2022-04-15-496506.png,Apple
Adobe,apwg451514/2022-04/2022-04-15/2022-04-15-509484.png,fnac
Sparkasse,apwg451514/2022-04/2022-04-13/2022-04-13-548537.png,Sparkasse Bank
Sparkasse,apwg451514/2022-04/2022-04-13/2022-04-13-551583.png,Sparkasse Bank
Instagram,apwg451514/2022-05/2022-05-28/2022-05-28-4790.png,Stripe
Credit Agricole,apwg451514/2022-05/2022-05-28/2022-05-28-6332.png,tech_target
International Card Services,apwg451514/2022-05/2022-05-03/2022-05-03-8188.png,knab
Credit Agricole,apwg451514/2022-05/2022-05-03/2022-05-03-8273.png,Microsoft OneDrive
DHL,apwg451514/2022-05/2022-05-03/2022-05-03-12268.png,DHL
Credit Agricole,apwg451514/2022-05/2022-05-03/2022-05-03-12689.png,Microsoft OneDrive
Microsoft Bing,apwg451514/2022-05/2022-05-03/2022-05-03-16542.png,snapchat
Facebook,apwg451514/2022-05/2022-05-08/2022-05-08-19196.png,Standard Chartered Bank
ING Group,apwg451514/2022-05/2022-05-08/2022-05-08-21839.png,Absa Group
AT&T,apwg451514/2022-05/2022-05-08/2022-05-08-23263.png,Square
Facebook,apwg451514/2022-05/2022-05-08/2022-05-08-28694.png,Microsoft OneDrive
Facebook,apwg451514/2022-05/2022-05-08/2022-05-08-29917.png,Standard Chartered Bank
DHL,apwg451514/2022-05/2022-05-04/2022-05-04-31677.png,DHL
Wells Fargo Bank,apwg451514/2022-05/2022-05-04/2022-05-04-33513.png,Sparkasse Bank
LinkedIn,apwg451514/2022-05/2022-05-05/2022-05-05-47506.png,"Twitter, Inc"
Instagram,apwg451514/2022-05/2022-05-05/2022-05-05-47835.png,Adobe
GoDaddy,apwg451514/2022-05/2022-05-22/2022-05-22-49184.png,Instagram
GoDaddy,apwg451514/2022-05/2022-05-22/2022-05-22-49407.png,Instagram
Facebook,apwg451514/2022-05/2022-05-13/2022-05-13-52882.png,lcl
Facebook,apwg451514/2022-05/2022-05-13/2022-05-13-55138.png,lcl
IONOS,apwg451514/2022-05/2022-05-19/2022-05-19-56822.png,MBNA Corportation
Adobe,apwg451514/2022-05/2022-05-19/2022-05-19-58366.png,Google
Chase Bank,apwg451514/2022-05/2022-05-16/2022-05-16-61332.png,Chase Personal Banking
Chase Bank,apwg451514/2022-05/2022-05-16/2022-05-16-61458.png,Chase Personal Banking
Wells Fargo Bank,apwg451514/2022-05/2022-05-01/2022-05-01-62581.png,Sparkasse Bank
Credit Agricole,apwg451514/2022-05/2022-05-01/2022-05-01-64548.png,Microsoft OneDrive
Facebook,apwg451514/2022-05/2022-05-24/2022-05-24-69030.png,Dropbox
Facebook,apwg451514/2022-05/2022-05-02/2022-05-02-82976.png,walmart
Outlook,apwg451514/2022-05/2022-05-02/2022-05-02-84049.png,dkb
Facebook,apwg451514/2022-05/2022-05-02/2022-05-02-84246.png,Dropbox
Chase Bank,apwg451514/2022-05/2022-05-21/2022-05-21-86169.png,smartsheet
Chase Bank,apwg451514/2022-05/2022-05-26/2022-05-26-88242.png,Chase Personal Banking
Adobe,apwg451514/2022-05/2022-05-26/2022-05-26-89557.png,Absa Group
Facebook,apwg451514/2022-05/2022-05-09/2022-05-09-95548.png,lcl
Facebook,apwg451514/2022-05/2022-05-09/2022-05-09-97900.png,Standard Chartered Bank
Facebook,apwg451514/2022-05/2022-05-09/2022-05-09-98674.png,Apple
ING Group,apwg451514/2022-05/2022-05-31/2022-05-31-105188.png,sharp
Facebook,apwg451514/2022-05/2022-05-31/2022-05-31-105413.png,PayPal
Facebook,apwg451514/2022-05/2022-05-31/2022-05-31-105576.png,Facebook
DHL,apwg451514/2022-05/2022-05-31/2022-05-31-107010.png,postbank
Adobe,apwg451514/2022-05/2022-05-31/2022-05-31-108752.png,Standard Chartered Bank
Facebook,apwg451514/2022-05/2022-05-31/2022-05-31-108758.png,Standard Chartered Bank
ING Group,apwg451514/2022-05/2022-05-17/2022-05-17-110569.png,Alibaba
Facebook,apwg451514/2022-05/2022-05-14/2022-05-14-112173.png,Dropbox
Chase Bank,apwg451514/2022-05/2022-05-14/2022-05-14-112207.png,Chase Personal Banking
OneDrive,apwg451514/2022-05/2022-05-14/2022-05-14-112366.png,GoDaddy
Instagram,apwg451514/2022-05/2022-05-25/2022-05-25-114611.png,Microsoft OneDrive
Apple,apwg451514/2022-05/2022-05-29/2022-05-29-119112.png,GoDaddy
DHL,apwg451514/2022-05/2022-05-29/2022-05-29-125068.png,DHL
DHL,apwg451514/2022-05/2022-05-29/2022-05-29-129581.png,postbank
International Card Services,apwg451514/2022-05/2022-05-29/2022-05-29-130342.png,knab
Facebook,apwg451514/2022-05/2022-05-29/2022-05-29-132284.png,Dropbox
Credit Agricole,apwg451514/2022-05/2022-05-29/2022-05-29-133165.png,tech_target
OneDrive,apwg451514/2022-05/2022-05-12/2022-05-12-137624.png,GoDaddy
Facebook,apwg451514/2022-05/2022-05-11/2022-05-11-179020.png,lcl
LinkedIn,apwg451514/2022-05/2022-05-11/2022-05-11-179865.png,LinkedIn Corporation
Facebook,apwg451514/2022-05/2022-05-11/2022-05-11-188455.png,Dropbox
Credit Agricole,apwg451514/2022-05/2022-05-06/2022-05-06-196765.png,tech_target
M&T Bank Corporation,apwg451514/2022-05/2022-05-06/2022-05-06-197531.png,M & T Bank Coporation
Facebook,apwg451514/2022-05/2022-05-06/2022-05-06-202038.png,Dropbox
International Card Services,apwg451514/2022-05/2022-05-06/2022-05-06-206017.png,knab
Facebook,apwg451514/2022-05/2022-05-06/2022-05-06-207726.png,Facebook
"Rakuten Group, Inc.",apwg451514/2022-05/2022-05-30/2022-05-30-216550.png,Canadian Imperial Bank of Commerce
LinkedIn,apwg451514/2022-05/2022-05-18/2022-05-18-217332.png,"Twitter, Inc"
Chase Bank,apwg451514/2022-05/2022-05-18/2022-05-18-217335.png,Chase Personal Banking
DHL,apwg451514/2022-06/2022-06-20/2022-06-20-5374.png,Absa Group
Microsoft Bing,apwg451514/2022-06/2022-06-20/2022-06-20-6945.png,ms_bing
Facebook,apwg451514/2022-06/2022-06-20/2022-06-20-9322.png,Chase Personal Banking
Microsoft Bing,apwg451514/2022-06/2022-06-20/2022-06-20-9673.png,ms_bing
DHL,apwg451514/2022-06/2022-06-20/2022-06-20-14111.png,DHL
Facebook,apwg451514/2022-06/2022-06-25/2022-06-25-106326.png,Apple
Facebook,apwg451514/2022-06/2022-06-22/2022-06-22-124344.png,db
Facebook,apwg451514/2022-06/2022-06-22/2022-06-22-143175.png,Chase Personal Banking
Instagram,apwg451514/2022-06/2022-06-24/2022-06-24-166203.png,Yahoo!
Adobe,apwg451514/2022-06/2022-06-24/2022-06-24-190569.png,Netflix
M&T Bank Corporation,apwg451514/2022-06/2022-06-24/2022-06-24-197558.png,Desjardins
Sparkasse,apwg451514/2022-06/2022-06-11/2022-06-11-218189.png,Sparkasse Bank
